defaulted,loan_amnt,term,int_rate,sub_grade,dti,fico,pub_rec,emp_length,home_ownership,verification_status,addr_state,annual_inc,issue_yr
False,5000.0,36 months,10.65,B2,27.65,735.0,0,10+ years,RENT,Verified,AZ,24000,2011
True,2500.0,60 months,15.27,C4,1.0,740.0,0,< 1 year,RENT,Source Verified,GA,30000,2011
False,2400.0,36 months,15.96,C5,8.72,735.0,0,10+ years,RENT,Not Verified,IL,12252,2011
False,10000.0,36 months,13.49,C1,20.0,690.0,0,10+ years,RENT,Source Verified,CA,49200,2011
False,5000.0,36 months,7.9,A4,11.2,730.0,0,3 years,RENT,Source Verified,AZ,36000,2011
False,7000.0,60 months,15.96,C5,23.51,690.0,0,8 years,RENT,Not Verified,NC,47004,2011
False,3000.0,36 months,18.64,E1,5.35,660.0,0,9 years,RENT,Source Verified,CA,48000,2011
True,5600.0,60 months,21.28,F2,5.55,675.0,0,4 years,OWN,Source Verified,CA,40000,2011
True,5375.0,60 months,12.69,B5,18.08,725.0,0,< 1 year,RENT,Verified,TX,15000,2011
False,6500.0,60 months,14.65,C3,16.12,695.0,0,5 years,OWN,Not Verified,AZ,72000,2011
False,12000.0,36 months,12.69,B5,10.78,675.0,0,10+ years,OWN,Source Verified,CA,75000,2011
True,9000.0,36 months,13.49,C1,10.08,710.0,0,< 1 year,RENT,Source Verified,VA,30000,2011
False,3000.0,36 months,9.91,B1,12.56,705.0,0,3 years,RENT,Source Verified,IL,15000,2011
True,10000.0,36 months,10.65,B2,7.06,720.0,0,3 years,RENT,Source Verified,CA,100000,2011
False,1000.0,36 months,16.29,D1,20.31,665.0,0,< 1 year,RENT,Not Verified,MO,28000,2011
False,10000.0,36 months,15.27,C4,18.6,670.0,0,4 years,RENT,Not Verified,CA,42000,2011
False,3600.0,36 months,6.03,A1,10.52,760.0,0,10+ years,MORTGAGE,Not Verified,CT,110000,2011
False,6000.0,36 months,11.71,B3,18.44,685.0,0,1 year,MORTGAGE,Verified,UT,84000,2011
False,9200.0,36 months,6.03,A1,9.86,755.0,0,6 years,RENT,Not Verified,CA,77385,2011
